Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2023-12-08,134.06533813476562,135.46566826562713,133.1119073660502,133.2807410653947,32260100
2023-12-11,132.37698364257812,132.4266441834892,130.46021102841993,131.47322847678203,31138000
2023-12-12,131.6122589111328,132.08896672831054,130.3608800539224,130.90711565395327,29032800
2023-12-13,131.66192626953125,132.5855486603067,130.66877609230048,132.4663754884051,30104800
2023-12-14,131.03623962402344,132.8040457651367,128.8016516772407,132.46637833464752,38722400
2023-12-15,131.6916961669922,132.59545115047231,130.2814098301103,130.7183982551423,50847100
2023-12-18,134.8697967529297,136.21054039619156,131.52287035934194,131.72151251769395,32258000
2023-12-19,135.71395874023438,136.52834911810746,135.14787104828332,135.90265968897415,25476800
2023-12-20,137.39239501953125,140.72938029742406,137.12425537662756,138.01808449484534,49107200
2023-12-21,139.45816040039062,139.72631521899663,138.22664859852475,138.5345379146942,27488300
2023-12-22,140.5207977294922,141.01737272515956,139.74614194859237,139.80572852338986,26532200
2023-12-26,140.55062866210938,141.70267144337964,140.22288725867438,140.6201412999027,16780300
2023-12-27,139.40847778320312,141.10677115979163,138.9317699678128,140.62012214444914,19628600
2023-12-28,139.2694549560547,140.1732253182547,138.7927470804766,139.8156906230036,16045700
2023-12-29,138.73313903808594,139.39854778247008,137.82936881563538,138.67355245713628,18733000
2024-01-02,137.2235565185547,138.49478751777463,135.54513031454442,137.60095843072804,23711200
2024-01-03,137.96841430664062,138.67355756715372,136.14102170359678,136.3098554072648,24212100
2024-01-04,135.45574951171875,138.20677969396053,135.41603017325698,137.47184312113336,27137700
2024-01-05,134.80026245117188,136.22047501254474,134.22423355918488,135.81327982358127,22513900
2024-01-08,137.8889617919922,138.05779549726947,135.32663261243945,135.35642590429612,21404000
2024-01-09,139.98452758789062,140.52083722032057,137.20370379980002,137.55131245616278,24759600
2024-01-10,141.30538940429688,142.02045866024227,139.94477867069364,140.03415853912,21320200
2024-01-11,141.1067657470703,144.22525640452344,139.67662720148994,142.50711100247338,24008700
2024-01-12,141.67288208007812,142.21911776763037,140.8485806793647,141.69274932897204,18785500
2024-01-16,141.51397705078125,143.36123702369463,140.48109235933,141.0273279986293,22670500
2024-01-17,140.50096130371094,140.86842203173782,137.94855799209301,140.3817881279767,20968600
2024-01-18,142.4971923828125,143.22220297005774,141.01740822196385,141.07699481176041,25746400
2024-01-19,145.3773193359375,145.44683196408025,143.39101909701728,143.74855374619364,34271900
2024-01-22,144.989990234375,147.37354444028344,144.84100862508816,146.09238746431797,32200400
